Tick, X-Pos, Y-Pos, Z-Pos, X-Vel, Y-Vel, Z-Vel, Speed
23, 328.5660604, -12.32310611, 0, 12.69782854, -1.031928582, 0, 12.73969098
24, 341.2003998, -13.37487505, 0, 12.57085025, -1.071609296, 0, 12.61644255
25, 353.7083958, -14.4661263, 0, 12.44514175, -1.110893203, 0, 12.49462432
26, 366.0913119, -15.59646504, 0, 12.32069033, -1.149784271, 0, 12.37422378
27, 378.3503988, -16.76550039, 0, 12.19748343, -1.188286428, 0, 12.25522854
28, 390.4868948, -17.97284538, 0, 12.0755086, -1.226403564, 0, 12.13762636
29, 402.5020258, -19.21811693, 0, 11.95475351, -1.264139528, 0, 12.02140508
30, 414.3970056, -20.50093576, 0, 11.83520597, -1.301498133, 0, 11.90655273
31, 426.1730355, -21.8209264, 0, 11.71685391, -1.338483152, 0, 11.7930574
32, 437.8313052, -23.17771714, 0, 11.59968538, -1.37509832, 0, 11.68090734
33, 449.3729921, -24.57093997, 0, 11.48368852, -1.411347337, 0, 11.5700909
34, 460.7992622, -26.00023057, 0, 11.36885164, -1.447233864, 0, 11.46059655
